,0
0,0.7502224627224627
1,0.8765873015873016
2,0.6952441077441077
3,0.5547350797350797
4,0.8112193362193362
5,0.6069023569023568
6,0.5445466570466571
7,0.4047565996095408
8,0.7123270248270248
9,0.6341602841602841
10,0.35096801346801343
11,0.4343940781440781
12,0.5276455026455027
13,0.6970238095238095
14,0.3763588263588264
15,0.7653133903133903
16,0.7324989824989825
17,0.5105339105339105
18,0.6914965481141953
19,0.7033984533984534
20,0.766096866096866
21,0.42678710178710183
22,0.49444444444444435
23,0.8723063973063974
24,0.7150553150553149
25,0.6022727272727273
26,0.4835090835090835
27,0.6318376068376068
28,0.6546055796055796
29,0.4234607984607984
30,0.6392045454545454
31,0.6631221719457014
32,0.4482323232323232
33,0.7151848151848152
34,0.6605158730158731
35,0.7002136752136752
36,0.6213804713804714
37,0.609110334110334
38,0.6380050505050505
39,0.7574675324675324
40,0.6891927516927516
41,0.87752849002849
42,0.7013437950937951
43,0.4588744588744589
44,0.7803872053872054
45,0.3821622821622821
46,0.8376623376623376
47,0.8284391534391535
48,0.7426827801827801
49,0.758432770932771
